spec,covariate,beta_selection,beta_outcome,se_selection,se_outcome,pval_selection,pval_outcome,n_obs,fallback
Han,colony,0.366892428507594,-0.186242472610376,0.114498352543893,0.0879876213666348,0.00135369315820033,0.0342862101663233,2610,FALSE
Han,comlang,0.0200084406253774,0.534347652548782,0.0827067946913056,0.0702691831002575,0.808842032177135,2.8643754035329e-14,2610,FALSE
Han,comrelig,0.0305844129755743,0.122986344028857,0.159717162183508,0.134808390938422,0.848140862995055,0.361608280840501,2610,FALSE
Han,wto,-0.0107157450166957,-0.167543266093238,0.0854597247562901,0.0758699511694262,0.900215266441534,0.0272236860191222,2610,FALSE
Han,EIA,0.0725681136453906,0.0846537026013031,0.0324007922292841,0.0224261688074016,0.0251102867002493,0.000160153258923268,2610,FALSE
Han,InvestAgree,0.121410753010364,0.143018966963725,0.0620456339818161,0.0525259755319902,0.0503712592378087,0.00647266040531491,2610,FALSE
Han,MDBDummy,0.100993318275715,0.0781098155975454,0.0990447085405808,0.0872903575675076,0.307883076656587,0.370879288018929,2610,FALSE
Han,NDCActOnly,0.346133249018125,0.261116386675121,0.082643228083122,0.0658641602751782,2.81072560719409e-05,7.35596684706685e-05,2610,FALSE
Han,NDCnonGHG,0.234871579322989,0.308036418483247,0.0790523744024831,0.0631637631316048,0.00296746512670332,1.07826033279856e-06,2610,FALSE
Han,NDC15,0.347634756009128,0.1093968740064,0.385464722127124,0.343248302889997,0.367131873816994,0.749945972692672,2610,FALSE
Han,NDC16,-0.506158281222625,-0.486524141065496,0.113920282224113,0.156518816581679,8.86752740991703e-06,0.00188099014059362,2610,FALSE
Han,NDC17,-0.531661173580874,-0.48053210306168,0.143471427173692,0.191495571290381,0.000210812888541856,0.012094876102394,2610,FALSE
Han,NDC18,0.735620457960698,0.0662145737732413,0.291485262627787,0.140773384197331,0.0116128001903073,0.638095783100113,2610,FALSE
Han,RecipientWRIVul,1.12937085022499,0.762889567612283,0.442768403971338,0.419172160757092,0.0107505788645905,0.0687603727266599,2610,FALSE
Han,CPIAPublicAdm,0.307014298103469,0.0829840903069201,0.0858832855451787,0.071847990354687,0.00035051554548815,0.248092356092746,2610,FALSE
Han,CPIAbudget,-0.0222151006473663,0.115267964039283,0.075633482314518,0.0637526348617149,0.768971524508379,0.0705986883370389,2610,FALSE
Han,RecipientGDPtot,0.0847532252257594,0.110093788500483,0.024997435225379,0.0244244010928997,0.000697711491419728,6.55858013254296e-06,2610,FALSE
Han,ProviderGDPtot,0.0223776352309754,0.183416847625197,0.0412385109143992,0.043376477985783,0.587378199145971,2.35268725716775e-05,2610,FALSE
Han,RecipientPop,0.0302821551856075,0.056330229019476,0.246653349645276,0.14965458030589,0.902287550476908,0.706618329145664,2610,FALSE
Han,ProviderPop,2.76040365531212,-0.170096750370119,0.654903304148565,0.568819829885288,2.49801463791943e-05,0.764913726138189,2610,FALSE
Han,Recipientdebt,-0.318772688222615,-0.156775660995242,0.139503070817024,0.141915185327545,0.0223093933717973,0.269283629956753,2610,FALSE
Han,Providerdebt,0.372037361032411,0.193315509576787,0.105331324964732,0.0622745637680045,0.000412323923994151,0.00190765224869427,2610,FALSE
Han,RecipientfisB,0.244966237564278,-0.149432203164021,0.806051526238086,0.883135323206832,0.761197292471522,0.865634247446565,2610,FALSE
Han,ProviderfisB,4.0298387134727,2.47202069727283,0.872592173616662,0.678218585102771,3.87011413516269e-06,0.000267523741134701,2610,FALSE
Han,distw,-0.0792700425511537,-0.15478532089026,0.0648404961367411,0.057902717907901,0.221503822718983,0.00751323116796976,2610,FALSE
Rio,colony,0.43991139316562,-0.0846562148082263,0.127262341502836,0.0281261919475157,0.000546774944992112,0.00261358505224929,2610,FALSE
Rio,comlang,0.122302243225215,0.166122200898112,0.0860890403215553,0.0229596913724592,0.155419048235919,4.64295268898241e-13,2610,FALSE
Rio,comrelig,-0.0178412861708869,-0.140671350708531,0.171168358688411,0.0474216625354264,0.916984934848491,0.00301313887471344,2610,FALSE
Rio,wto,-0.016458286342046,0.0203516100546608,0.0908160010136256,0.0249357724875391,0.856189619248875,0.414407943542429,2610,FALSE
Rio,EIA,0.124599073535678,0.0290457349571304,0.0345858289254128,0.00838633210478716,0.00031504431096141,0.000533273709524051,2610,FALSE
Rio,InvestAgree,0.0912768042140695,0.137479850869962,0.0658385329673108,0.017314284034045,0.165632852296605,1.99840144432528e-15,2610,FALSE
Rio,MDBDummy,0.00932835978749425,0.0412431734126983,0.0172308610123308,0.00541176267745716,0.58824903891434,2.50910403565285e-14,2610,FALSE
Rio,NDCActOnly,0.372373602954704,0.0945195839401733,0.0887914137587993,0.0231729415506111,2.74317523909495e-05,4.52537231563355e-05,2610,FALSE
Rio,NDCnonGHG,0.258589026942532,0.10162531955702,0.0818213037594751,0.0210404554933842,0.00157546209949899,1.36535673211924e-06,2610,FALSE
Rio,NDC15,0.256638999756763,0.204363228608569,0.395590345279125,0.223574412796361,0.516500367291078,0.360678736928051,2610,FALSE
Rio,NDC16,-0.00684388973041327,0.0490068348401931,0.125416769395719,0.0355756187213671,0.956481696346527,0.168345382565201,2610,FALSE
Rio,NDC17,0.0514144575290176,-0.0164139121214129,0.161162468338605,0.048485745509128,0.749709432323317,0.734963315419638,2610,FALSE
Rio,NDC18,0.395120864131802,0.0946627653092405,0.257155807067874,0.0728433767206361,0.124414876644188,0.193759223774245,2610,FALSE
Rio,RecipientWRIVul,1.68543936582976,0.28496666382559,0.45365872775511,0.134123841401224,0.000203031598143166,0.0336155519007224,2610,FALSE
Rio,CPIAPublicAdm,0.319772667573415,-0.00168633862013332,0.0913026243929402,0.0227130325182871,0.000461193832149487,0.940815106275376,2610,FALSE
Rio,CPIAbudget,-0.0442618835084578,0.0733768930574881,0.0805405497055649,0.0209846353887636,0.58262103873031,0.00047105810197956,2610,FALSE
Rio,RecipientGDPtot,0.112467045272987,0.0677348780537834,0.0258227025458585,0.00687037544610097,1.32851232641507e-05,0,2610,FALSE
Rio,ProviderGDPtot,-0.0259580756066932,0.0397381585577888,0.0426385878748319,0.0131169980434933,0.542661626372492,0.00244945736515301,2610,FALSE
Rio,RecipientPop,-0.209921626313663,-0.295368480597064,0.243386448335961,0.0434443550508343,0.388410592048954,1.05511155368276e-11,2610,FALSE
Rio,ProviderPop,2.65589933538935,0.0700460965571002,0.67724578891967,0.186086874631644,8.79563246840576e-05,0.706607574812891,2610,FALSE
Rio,Recipientdebt,-0.121903698440924,0.0395359680502629,0.152103097474207,0.0385699054897188,0.422868626176571,0.305340985314941,2610,FALSE
Rio,Providerdebt,0.41953954551573,0.0711564145750523,0.106534709430197,0.0215035391105923,8.21447668384323e-05,0.000936111198062139,2610,FALSE
Rio,RecipientfisB,1.0833214862358,0.451835444273687,0.833314065908095,0.253543484778082,0.193595539916221,0.0747357553129178,2610,FALSE
Rio,ProviderfisB,4.36923669968092,1.47576168660594,0.866461652834603,0.212703778098842,4.59201042524171e-07,3.97393229434329e-12,2610,FALSE
Rio,distw,-0.0901805906819108,-0.00510897059939349,0.0668316077921112,0.0177275345899265,0.177218036162545,0.773198176769987,2610,FALSE
BERT,colony,0.572300957782978,1.23769528573422,0.12047294334841,0.231081316855694,2.02962276274477e-06,8.50361443482939e-08,2610,FALSE
BERT,comlang,0.206611863332862,0.368898166615462,0.0864006572940507,0.199191173769947,0.016787784724549,0.0640286252511508,2610,FALSE
BERT,comrelig,0.0094771054286533,-0.839737900460862,0.156834734015007,0.429654067368228,0.951815286133774,0.0506478826589609,2610,FALSE
BERT,wto,0.0519483030754193,0.760812395890062,0.0896389855342826,0.231323547291468,0.562232951197758,0.00100560627690172,2610,FALSE
BERT,EIA,-0.0080844507856004,0.123324227304044,0.030464160229658,0.0686682702863883,0.790719979530766,0.0725037496398573,2610,FALSE
BERT,InvestAgree,-0.149766776623514,0.274464685027021,0.0628907300222706,0.142269664192711,0.0172478721057117,0.0537077401060047,2610,FALSE
BERT,MDBDummy,-0.00318991804802668,0.180165890041942,0.0156586602157841,0.0306321939429974,0.838575516872488,4.06353151127803e-09,2610,FALSE
BERT,NDCActOnly,0.0381439772405836,0.439992962698016,0.0831042943817313,0.186225623640172,0.646241890186985,0.0181429586039077,2610,FALSE
BERT,NDCnonGHG,-0.0597779908937505,0.793082828478816,0.0747694397942939,0.157757175709113,0.424001912731134,4.97595296522491e-07,2610,FALSE
BERT,NDC15,0.518082771840547,0.480429035770328,0.488880053442046,0.988047878153917,0.289265669992579,0.626796558128213,2610,FALSE
BERT,NDC16,0.0597821504573708,0.462142747387611,0.112485616440601,0.221199381685443,0.595096697878423,0.0366844359442509,2610,FALSE
BERT,NDC17,0.164471232826308,0.424051076955214,0.15427514977127,0.339887428121877,0.286382847111562,0.212169470372253,2610,FALSE
BERT,NDC18,0.0833986710730727,0.419170033512678,0.219448045628772,0.442085244169807,0.703916954954569,0.343045141951637,2610,FALSE
BERT,RecipientWRIVul,0.198738209315242,1.58811846133988,0.438377812981837,1.21747786687068,0.650297345509691,0.192085946343259,2610,FALSE
BERT,CPIAPublicAdm,0.0827307226452975,0.440161202289505,0.0853061662149885,0.186401361642731,0.332141501978601,0.0182079182027963,2610,FALSE
BERT,CPIAbudget,0.0347603478338528,0.00452472304913976,0.0739579474080561,0.195084087056497,0.638353930286853,0.981495758780322,2610,FALSE
BERT,RecipientGDPtot,0.00558836560857859,0.564262255671061,0.0262131692487542,0.0612324566962915,0.83117936123883,0,2610,FALSE
BERT,ProviderGDPtot,-0.0824903167547019,0.0735126116780702,0.0494897236862337,0.113013921979772,0.0955507827997342,0.515386126458568,2610,FALSE
BERT,RecipientPop,0.594726177780968,-3.01514026552506,0.241687789275633,0.34170394162254,0.0138658210798734,0,2610,FALSE
BERT,ProviderPop,3.25105742752007,7.35418247804711,0.700507614838725,1.56191576206073,3.46723323496612e-06,2.49623089043638e-06,2610,FALSE
BERT,Recipientdebt,-0.217920473873894,0.595870407520888,0.14496780657358,0.369851621024298,0.132778822813578,0.107156478387218,2610,FALSE
BERT,Providerdebt,-0.184204629441477,-0.0872357176372254,0.0826234913327309,0.275848628572253,0.0257842306432903,0.751816641768143,2610,FALSE
BERT,RecipientfisB,0.0527135142585969,0.830075570241674,0.866253517305717,2.3570816588364,0.951476842362133,0.724716461881084,2610,FALSE
BERT,ProviderfisB,3.1772281788716,13.2627503798635,0.849205439853192,1.97235240624616,0.000182988604536805,1.76401115936642e-11,2610,FALSE
BERT,distw,-0.0938560368663686,-0.212535815422068,0.0657954785939748,0.162642588704308,0.153729386296783,0.191292174055998,2610,FALSE
